,Path,z
97,./spec_forgelato/v1/specgelato_SPEC214.fits,0.29266
98,./spec_forgelato/v1/specgelato_SPEC218.fits,0.438
99,./spec_forgelato/v1/specgelato_SPEC221.fits,0.50376
100,./spec_forgelato/v1/specgelato_SPEC222.fits,0.29452
101,./spec_forgelato/v1/specgelato_SPEC223.fits,0.56082
102,./spec_forgelato/v1/specgelato_SPEC226.fits,1.00453
103,./spec_forgelato/v1/specgelato_SPEC227.fits,1.00404
104,./spec_forgelato/v1/specgelato_SPEC231.fits,0.29279
105,./spec_forgelato/v1/specgelato_SPEC233.fits,0.63909
106,./spec_forgelato/v1/specgelato_SPEC234.fits,0.46605
107,./spec_forgelato/v1/specgelato_SPEC235.fits,0.29384
108,./spec_forgelato/v1/specgelato_SPEC236.fits,0.32076
109,./spec_forgelato/v1/specgelato_SPEC237.fits,0.4364
110,./spec_forgelato/v1/specgelato_SPEC238.fits,0.29179
111,./spec_forgelato/v1/specgelato_SPEC240.fits,0.39638
112,./spec_forgelato/v1/specgelato_SPEC242.fits,0.07474
113,./spec_forgelato/v1/specgelato_SPEC243.fits,0.60239
114,./spec_forgelato/v1/specgelato_SPEC244.fits,0.44853
115,./spec_forgelato/v1/specgelato_SPEC245.fits,0.58548
116,./spec_forgelato/v1/specgelato_SPEC246.fits,0.68943
117,./spec_forgelato/v1/specgelato_SPEC248.fits,0.95751
118,./spec_forgelato/v1/specgelato_SPEC249.fits,0.07588
119,./spec_forgelato/v1/specgelato_SPEC250.fits,0.63175
120,./spec_forgelato/v1/specgelato_SPEC252.fits,0.29656
121,./spec_forgelato/v1/specgelato_SPEC253.fits,0.7209
122,./spec_forgelato/v1/specgelato_SPEC258.fits,0.62766
123,./spec_forgelato/v1/specgelato_SPEC259.fits,0.46659
124,./spec_forgelato/v1/specgelato_SPEC260.fits,0.83528
125,./spec_forgelato/v1/specgelato_SPEC261.fits,0.62748
126,./spec_forgelato/v1/specgelato_SPEC262.fits,0.50304
127,./spec_forgelato/v1/specgelato_SPEC264.fits,0.43551
128,./spec_forgelato/v1/specgelato_SPEC265.fits,1.30353
129,./spec_forgelato/v1/specgelato_SPEC266.fits,0.68301
130,./spec_forgelato/v1/specgelato_SPEC267.fits,0.96102
131,./spec_forgelato/v1/specgelato_SPEC268.fits,1.02295
132,./spec_forgelato/v1/specgelato_SPEC271.fits,0.8201
133,./spec_forgelato/v1/specgelato_SPEC274.fits,0.18345
134,./spec_forgelato/v1/specgelato_SPEC275.fits,0.98627
135,./spec_forgelato/v1/specgelato_SPEC276.fits,0.8284
136,./spec_forgelato/v1/specgelato_SPEC277.fits,0.82612
137,./spec_forgelato/v1/specgelato_SPEC278.fits,0.8248
138,./spec_forgelato/v1/specgelato_SPEC279.fits,0.71882
139,./spec_forgelato/v1/specgelato_SPEC280.fits,0.49138
140,./spec_forgelato/v1/specgelato_SPEC281.fits,0.28908
141,./spec_forgelato/v1/specgelato_SPEC282.fits,1.0997
142,./spec_forgelato/v1/specgelato_SPEC283.fits,0.63182
143,./spec_forgelato/v1/specgelato_SPEC287.fits,0.98032
144,./spec_forgelato/v1/specgelato_SPEC288.fits,0.68969
145,./spec_forgelato/v1/specgelato_SPEC291.fits,1.00245
146,./spec_forgelato/v1/specgelato_SPEC292.fits,0.99989
147,./spec_forgelato/v1/specgelato_SPEC294.fits,0.43689
148,./spec_forgelato/v1/specgelato_SPEC295.fits,0.76363
149,./spec_forgelato/v1/specgelato_SPEC296.fits,0.82181
150,./spec_forgelato/v1/specgelato_SPEC297.fits,0.82223
151,./spec_forgelato/v1/specgelato_SPEC298.fits,0.64548
152,./spec_forgelato/v1/specgelato_SPEC301.fits,0.82204
153,./spec_forgelato/v1/specgelato_SPEC302.fits,0.96868
154,./spec_forgelato/v1/specgelato_SPEC303.fits,0.6937
155,./spec_forgelato/v1/specgelato_SPEC304.fits,-0.0002
156,./spec_forgelato/v1/specgelato_SPEC305.fits,0.42898
157,./spec_forgelato/v1/specgelato_SPEC306.fits,0.84358
158,./spec_forgelato/v1/specgelato_SPEC307.fits,0.2922
159,./spec_forgelato/v1/specgelato_SPEC308.fits,0.77452
160,./spec_forgelato/v1/specgelato_SPEC309.fits,0.63843
161,./spec_forgelato/v1/specgelato_SPEC313.fits,0.55905
162,./spec_forgelato/v1/specgelato_SPEC315.fits,0.43526
163,./spec_forgelato/v1/specgelato_SPEC317.fits,0.82372
