# id       redshift distance galex.FUV galex.FUV_err galex.NUV galex.NUV_err sdss.up sdss.up_err sdss.gp sdss.gp_err sdss.rp sdss.rp_err sdss.ip sdss.ip_err sdss.zp sdss.zp_err 2mass.J 2mass.J_err 2mass.H 2mass.H_err 2mass.Ks 2mass.Ks_err IRAC1 IRAC1_err IRAC2 IRAC2_err IRAC3 IRAC3_err IRAC4 IRAC4_err WISE3 WISE3_err MIPS1  MIPS1_err herschel.pacs.70 herschel.pacs.70_err herschel.pacs.100 herschel.pacs.100_err herschel.pacs.160 herschel.pacs.160_err herschel.spire.PSW herschel.spire.PSW_err herschel.spire.PMW herschel.spire.PMW_err herschel.spire.PLW herschel.spire.PLW_err
  NGC_3627 0.0      9.38     2.46      0.38          4.52      0.69          21.4    0.4         76.0    1.5         136.0   2.0         190.0   3.0         236.0   4.0         324.0   16.0        366.0   18.0        313.0    15.0         177.0 25.0      115.0 17.0      219.0 30.0      520.0 69.0      460.0 32.0      750.0  29.0      10700.0          500.0                18800.0           900.0                 19600.0           900.0                 9040.0             640.0                  3600.0             250.0                  1200.0             80.0
  NGC_4536 0.0      14.5     1.48      0.2           1.91      0.26          5.61    0.12        17.2    0.3         29.2    0.5         39.3    0.7         49.1    1.0         70.2    3.5         74.2    3.7         69.4     3.5          39.4  5.3       28.5  3.8       62.0  7.9       165.0 20.0      131.0 9.0       345.0  13.0      4190.0           200.0                5670.0            280.0                 5550.0            270.0                 -9999.             -9999.                 1210.0             80.0                   462.0              32.0
  NGC_4625 0.0      9.3      0.549     0.087         0.698     0.107         1.26    0.03        3.41    0.07        5.34    0.11        6.86    0.14        7.95    0.17        9.66    0.63        11.2    0.8         8.92     0.87         4.86  0.64      3.07  0.4       6.05  0.76      13.4  1.6       11.2  0.7       12.8   0.5       151.0            8.0                  376.0             19.0                  469.0             23.0                  256.0              18.0                   130.0              9.0                    54.9               4.0
  NGC_4736 0.0      4.66     6.25      0.98          8.09      1.23          41.5    0.8         162.0   3.0         300.0   6.0         421.0   8.0         518.0   10.0        684.0   34.0        760.0   38.0        639.0    32.0         344.0 48.0      229.0 31.0      256.0 34.0      481.0 64.0      454.0 31.0      552.0  22.0      10700.0          500.0                16500.0           800.0                 14100.0           700.0                 6350.0             450.0                  2600.0             180.0                  901.0              64.0
  NGC_5713 0.0      21.4     0.387     0.053         0.75      0.103         2.85    0.06        8.84    0.18        15.1    0.3         19.7    0.4         23.0    0.4         36.2    1.8         37.9    1.9         32.7     1.6          20.0  2.7       13.7  1.9       28.8  3.7       114.0 14.0      98.2  6.8       234.0  9.0       2950.0           140.0                4210.0            210.0                 3850.0            190.0                 1560.0             110.0                  608.0              43.0                   193.0              13.0
  NGC_2798 0.0      25.8     0.0965    0.0133        0.201     0.027         0.839   0.028       3.1     0.07        5.98    0.12        8.25    0.17        10.6    0.2         16.0    0.8         18.4    0.9         17.2     0.9          11.4  1.5       8.1   1.14      26.5  3.4       63.2  7.8       58.7  4.1       261.0  10.0      2500.0           120.0                2870.0            140.0                 2020.0            100.0                 740.0              52.0                   272.0              19.0                   85.3               6.1
  NGC_3049 0.0      19.2     0.228     0.034         0.339     0.046         0.923   0.027       2.34    0.05        3.9     0.08        4.99    0.1         6.01    0.13        7.51    0.4         8.02    0.46        7.29     0.45         4.02  0.51      2.73  0.38      6.51  0.86      13.4  1.6       11.2  0.7       42.6   1.7       382.0            19.0                 529.0             26.0                  493.0             24.0                  259.0              18.0                   131.0              9.0                    64.4               4.6
  NGC_3198 0.0      14.1     2.15      0.29          2.59      0.35          6.28    0.13        17.1    0.3         27.0    0.5         35.0    0.7         41.7    0.8         56.8    2.8         62.7    3.1         54.5     2.7          27.3  3.6       17.3  2.3       33.5  4.2       68.2  8.5       60.5  4.2       105.0  4.0       1090.0           50.0                 2240.0            110.0                 2960.0            140.0                 1820.0             120.0                  955.0              67.0                   403.0              28.0
  NGC_3351 0.0      9.33     1.47      0.23          2.42      0.36          8.76    0.18        32.8    0.6         62.0    1.2         87.8    1.7         110.0   2.0         164.0   8.0         174.0   8.0         152.0    7.0          77.0  10.9      50.0  7.0       65.8  9.2       126.0 16.0      115.0 8.0       253.0  10.0      2700.0           130.0                4860.0            240.0                 5380.0            260.0                 3130.0             220.0                  1380.0             90.0                   480.0              34.0
  NGC_4321 0.0      14.3     2.62      0.39          4.45      0.61          15.2    0.3         44.2    0.8         75.5    1.5         103.0   2.0         122.0   2.0         182.0   9.0         197.0   9.0         163.0    8.0          95.0  12.8      63.7  8.7       121.0 15.0      287.0 35.0      257.0 18.0      333.0  13.0      4400.0           220.0                9070.0            450.0                 11600.0           500.0                 6270.0             440.0                  2650.0             180.0                  901.0              64.0
  NGC_4725 0.0      11.9     2.02      0.28          2.71      0.37          12.3    0.2         47.8    0.9         91.0    1.8         131.0   2.0         159.0   3.0         240.0   12.0        315.0   15.0        239.0    12.0         113.0 15.0      70.4  9.6       75.3  9.5       120.0 15.0      87.5  6.1       85.9   3.7       1030.0           50.0                 2600.0            130.0                 4660.0            230.0                 3020.0             210.0                  1600.0             110.0                  648.0              46.0
  NGC_4826 0.0      5.27     1.0       0.15          2.58      0.39          22.8    0.4         96.6    1.9         184.0   3.0         268.0   5.0         336.0   6.0         547.0   27.0        616.0   30.0        520.0    26.0         239.0 34.0      151.0 21.0      159.0 21.0      223.0 29.0      185.0 12.0      254.0  10.0      5630.0           280.0                9750.0            480.0                 9060.0            450.0                 3930.0             270.0                  1560.0             110.0                  516.0              36.0
  NGC_0628 0.0      7.2      4.69      0.73          5.91      0.91          17.9    0.3         49.2    0.9         80.4    1.6         108.0   2.0         123.0   2.0         156.0   7.0         160.0   8.0         128.0    6.0          83.9  11.7      54.4  7.5       116.0 14.0      259.0 33.0      235.0 16.0      323.0  12.0      4200.0           210.0                8360.0            410.0                 11400.0           500.0                 6210.0             440.0                  2980.0             210.0                  1140.0             80.0
  NGC_3184 0.0      11.7     3.73      0.51          4.92      0.68          10.6    0.2         31.6    0.6         50.9    1.0         66.7    1.3         75.4    1.5         103.0   5.0         112.0   5.0         90.8     4.6          55.6  7.5       35.6  4.8       66.6  8.4       143.0 17.0      115.0 8.0       142.0  5.0       1800.0           90.0                 3920.0            190.0                 5370.0            260.0                 3140.0             220.0                  1460.0             100.0                  577.0              41.0
  NGC_3521 0.0      11.2     1.44      0.23          2.96      0.45          17.0    0.3         66.4    1.3         129.0   2.0         180.0   3.0         235.0   4.0         355.0   17.0        408.0   20.0        342.0    17.0         195.0 27.0      129.0 18.0      235.0 32.0      559.0 75.0      483.0 33.0      548.0  21.0      8000.0           400.0                16300.0           800.0                 20300.0           1000.0                10600.0            700.0                  4590.0             320.0                  1640.0             110.0
  NGC_4254 0.0      14.4     2.59      0.38          4.64      0.64          12.8    0.2         33.9    0.6         54.3    1.0         69.7    1.4         84.2    1.7         122.0   6.0         132.0   6.0         119.0    6.0          69.7  9.4       46.8  6.4       149.0 18.0      392.0 48.0      331.0 23.0      419.0  16.0      5960.0           290.0                11000.0           500.0                 12600.0           600.0                 6180.0             430.0                  2490.0             170.0                  833.0              59.0
  NGC_7331 0.0      14.5     0.802     0.111         1.51      0.2           9.05    0.19        38.6    0.7         81.4    1.6         124.0   2.0         169.0   3.0         264.0   13.0        320.0   16.0        273.0    13.0         158.0 21.0      101.0 13.0      185.0 23.0      401.0 49.0      335.0 23.0      434.0  24.0      6880.0           340.0                13500.0           600.0                 17100.0           800.0                 8820.0             620.0                  3850.0             270.0                  1390.0             90.0
  NGC_5055 0.0      7.94     3.69      0.58          5.86      0.9           28.0    0.5         93.4    1.8         171.0   3.0         245.0   4.0         309.0   6.0         414.0   20.0        491.0   24.0        402.0    20.0         236.0 32.0      155.0 21.0      259.0 33.0      558.0 70.0      524.0 36.0      558.0  22.0      7640.0           380.0                -9999.0           800.0                 24100.0           1200.0                13800.0            900.0                  6110.0             430.0                  2210.0             150.0
  NGC_2841 0.0      14.1     1.16      0.16          1.83      0.25          11.1    0.2         45.9    0.9         94.1    1.8         140.0   2.0         179.0   3.0         277.0   13.0        319.0   15.0        265.0    13.0         126.0 17.0      75.0  10.3      66.9  8.5       115.0 14.0      100.0 7.0       90.8   3.7       1100.0           50.0                 2860.0            140.0                 4880.0            240.0                 3210.0             220.0                  1520.0             100.0                  589.0              41.0
